user_id,name,dob,ssn_pattern,address,fraud_label
0,User0,1980-01-01,202-XX-1853,0 Main St,2
1,User1,1980-01-02,535-XX-5146,1 Main St,0
2,User2,1980-01-03,960-XX-4769,2 Main St,0
3,User3,1980-01-04,370-XX-1574,3 Main St,1
4,User4,1980-01-05,206-XX-2148,4 Main St,0
5,User5,1980-01-06,171-XX-7293,5 Main St,0
6,User6,1980-01-07,800-XX-7457,6 Main St,0
7,User7,1980-01-08,120-XX-8509,7 Main St,0
8,User8,1980-01-09,714-XX-5777,8 Main St,0
9,User9,1980-01-10,221-XX-4854,9 Main St,0
10,User10,1980-01-11,566-XX-3491,10 Main St,0
11,User11,1980-01-12,314-XX-4124,11 Main St,0
12,User12,1980-01-13,430-XX-6691,12 Main St,0
13,User13,1980-01-14,558-XX-4051,13 Main St,0
14,User14,1980-01-15,187-XX-1004,14 Main St,1
15,User15,1980-01-16,472-XX-6222,15 Main St,0
16,User16,1980-01-17,199-XX-6315,16 Main St,0
17,User17,1980-01-18,971-XX-5869,17 Main St,0
18,User18,1980-01-19,763-XX-1876,18 Main St,0
19,User19,1980-01-20,230-XX-8027,19 Main St,0
20,User20,1980-01-21,761-XX-5142,20 Main St,1
21,User21,1980-01-22,408-XX-7966,21 Main St,0
22,User22,1980-01-23,869-XX-8079,22 Main St,0
23,User23,1980-01-24,443-XX-8987,23 Main St,0
24,User24,1980-01-25,591-XX-7799,24 Main St,0
25,User25,1980-01-26,513-XX-5465,25 Main St,0
26,User26,1980-01-27,905-XX-1635,26 Main St,0
27,User27,1980-01-28,485-XX-2693,27 Main St,0
28,User28,1980-01-29,291-XX-5752,28 Main St,0
29,User29,1980-01-30,376-XX-9311,29 Main St,0
30,User30,1980-01-31,260-XX-1830,30 Main St,0
31,User31,1980-02-01,559-XX-6177,31 Main St,0
32,User32,1980-02-02,413-XX-9932,32 Main St,0
33,User33,1980-02-03,121-XX-9308,33 Main St,0
34,User34,1980-02-04,352-XX-6949,34 Main St,0
35,User35,1980-02-05,847-XX-3838,35 Main St,0
36,User36,1980-02-06,956-XX-2150,36 Main St,1
37,User37,1980-02-07,660-XX-8560,37 Main St,0
38,User38,1980-02-08,574-XX-2931,38 Main St,0
